SNORD12C,3.106511059396504e-15,8.064495103379448e-15,1.0,-1.253131252718695e-14,-1.0137887039360041e-14,3.1474703651978477e-15,-4.610282163041852e-15,2.0076210301231512e-14,4.254514123022977e-15,2.546157547239467e-14,-2.007660181884436e-14,-1.560976904168501e-14,4.3116545919709474e-15,1.555075056854849e-14,-1.2625340153713293e-14,5.346013565754983e-15,-0.38135866305377775,0.23716874069131655,-9.448370047652347e-18,0.1425696869268393,0.3056210580762231,-0.030825662136034708,-0.09240595833769633,-0.23538259003861706,0.09466600699447486,-0.07153337515564517,0.08640951563740609,-0.3906697460040673,0.037928228359337506,-0.6354447148138683,0.17285600457943648,0.10206027444324277,-3.363559060619247e-16,1.0,-3.6055558272735824e-15,3.019419058383518e-15,-2.44645551483599e-15,3.7780887849425483e-17,2.660404884091079e-15,-2.3943730567973795e-15,3.108002603720179e-17,3.6355554544177276e-16,6.353468980507969e-15,1.1331173455675231e-15,1.3948809271469837e-15,-8.751231378499496e-17,-2.3081148525398144e-16,2.419462343680968e-15,0.2899730785217645,1.4742313734971748e-16,-0.15135382555581864,0.04672812794801854,0.1212129473737165,0.10704055486260317,0.1210386968280171,-0.2058031829015726,-0.2186549774767565,-0.04228389645185544,0.21097143487538095,0.02356490219727525,-0.6790616673237923,-0.2989768285587408,0.22105316119467458,0.3370904476856567
MIRLET7D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXC-AS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT1M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT2A,-1.409160637621785e-15,4.903557452205908e-15,1.0,3.3198356936980296e-15,-2.641662766815735e-16,-2.3665930062134747e-15,1.7261972282979315e-15,-2.3407372192919547e-15,3.14849664081638e-15,5.523735589424479e-15,2.089256442291044e-14,1.1901856760151413e-14,7.094563625647288e-15,-6.543914881328774e-15,1.2447634970829975e-14,5.39488131690968e-15,-0.17481779526974614,0.07735670568770764,-4.9733951405289e-18,0.08572998676282308,0.09473942382989568,0.05088394140402528,-0.19111344727622845,0.077157396618978,-0.2231805766229491,0.15159665865725977,-0.24275916714563164,0.15926241478448042,0.42943841949907874,-0.05626539880818075,0.25179476931841965,0.7028451441203224,-2.1831298921968033e-15,1.0,-1.006031578327984e-15,4.08305277456077e-15,1.5549957343379972e-15,-1.5691276366694124e-15,-2.666331243713687e-15,-3.033030228936755e-16,-3.1916011415387164e-15,1.6365787592897586e-15,-4.424501555003157e-15,-9.569043978011167e-17,3.682589173469174e-15,2.309062223780024e-15,-1.3116330866602726e-15,4.932543917540714e-15,0.16501775836537153,8.388116557659211e-17,-0.060726898893944024,0.20860616707361535,-0.245526452658078,-0.22713841490875236,-0.13030633398263433,-0.1602886857031497,0.13667982194784511,0.2503631938815032,0.36918568174091765,-0.10198220565218223,-0.34912750918194413,-0.18224785846883676,0.6076946659862942,-0.13623105816369166
HAMP,-1.3876284453034554e-15,6.992103434732836e-15,1.0,-7.729190878979573e-15,-5.4398854455312853e-17,-3.5659344372180646e-17,-1.6920365767486094e-14,5.1846539274601065e-15,-1.028112293849062e-14,1.1709393155669932e-14,-1.2144558907918908e-14,-2.888570735316027e-15,-3.751120389436703e-15,7.162149695517212e-15,-9.047873735910355e-15,1.3109202785217515e-14,-0.45974571538969355,0.2681199706305372,-1.1533148724991849e-17,0.06430167030892721,0.28742277540635236,-0.08839382638735561,-0.06197015320647796,-0.024427328977126087,0.1935130024194316,-0.5550805884422965,0.3235210489192886,0.06793432037728547,0.2832605014968157,0.0936339469229281,0.146595576293453,-0.22893616054941798,-4.474749889586125e-16,1.0,2.824489646774005e-15,2.677874020080159e-15,2.088208870168253e-15,2.503355367259224e-16,1.989051177993152e-16,-3.0442854533204316e-15,2.850003508873323e-15,5.974486653477578e-17,2.381545259459596e-16,-4.527860979779526e-15,-1.463155063499324e-16,2.301012463283723e-16,-4.722332786513452e-15,-9.296873048787288e-16,0.20735616996524153,1.0542158420396488e-16,-0.1369837140905682,0.09640734278748941,0.21645529867578214,-0.11874116129280239,0.11180034744859833,0.1914084025103639,0.020283498403252293,0.06048043955275505,0.13641802230647931,0.07126845134434615,-0.5893187079681368,0.2760668615628812,-0.5770400634776099,-0.18604459637708837
MT1JP,8.258887929117923e-16,-2.210528993120787e-15,1.0,-1.732427310755987e-15,1.8230919923692103e-15,-2.7982052014557077e-15,-4.372554882138678e-15,-4.039249494647837e-15,-7.21903917243915e-15,-5.940097322825069e-15,-2.374229601931029e-15,-2.784612751966212e-16,3.978803595384979e-15,-1.0171643164014157e-14,-1.7770040647487538e-14,-8.078150823368426e-16,-0.2889432283141657,0.18226892447696394,-9.44344951120584e-18,0.14155353922695302,0.03148982277876763,0.03397326355194358,-0.1610539177909376,-0.09301548720736498,-0.4597306376394898,0.2762795053588478,0.13022364582619053,0.18126775924408436,0.04899133921297055,-0.026881159044880292,0.20718612272564696,-0.6655589744143937,1.976372972439988e-15,1.0,2.914310071146323e-15,-3.590368220189849e-15,3.8340436089473347e-16,6.055240683874217e-16,-3.1533479519107748e-15,-3.4443602524909417e-15,5.576055467230937e-16,5.401475124245581e-15,-2.979176138918349e-15,1.337448324486763e-15,-2.129830199077988e-15,-4.317651364428059e-15,1.4047586986748675e-15,1.404359661959951e-15,0.20728599082932322,1.0538400558031368e-16,-0.11749264347286362,0.24630835793317257,-0.3284571325010844,0.054409472040970214,-0.12122940459661706,-0.21256457505796836,0.39967392412256414,-0.17059521794390162,-0.09572406962359822,0.24292608998829307,0.09637022052911094,0.4292737332688211,0.17555116847320365,0.480037412039982
HULC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100P,-4.377086368960752e-15,-2.5511559760185283e-16,1.0,6.429799618956489e-15,1.2335225701992302e-14,-1.1927165538096266e-14,-1.0326122539349806e-14,-1.2788947889648534e-14,-1.6129497381237397e-14,1.1497985626580823e-14,1.6165781130851384e-15,-2.363682469455685e-14,2.2233377399893136e-14,2.5771383478216973e-14,-1.4990018304667e-14,-5.04862093104467e-15,-0.3360967537558277,0.01887425846852186,-3.1745453412364974e-18,0.11541904771001098,0.13535888023621476,-0.049227794377605306,-0.17118500763877514,0.10669863899822062,-0.2791922998514772,0.0184549289143115,0.33359276791413633,-0.44145497352842583,-0.0006212425882223503,-0.1964148027199462,-0.6119369711157838,0.12010536566661098,2.9415623030709992e-15,1.0,5.612742534515466e-15,-1.77739593305358e-15,1.2230349429892328e-15,1.6862713399063366e-15,2.6868582313977175e-15,-2.1560512061873687e-16,-5.773215665967889e-16,1.8956244774634546e-15,3.069756488517805e-15,-2.3394789328057452e-15,-9.865088862561783e-16,-1.1407506099839433e-15,7.897838823109746e-16,-4.396831626440034e-15,0.28044046972229736,1.4258975750430862e-16,-0.07864553354384815,0.1051991623620853,-0.17757088804475943,-0.13583849807530066,0.17352214294773208,-0.3120574863971608,0.34822090422008317,-0.19780469212675494,0.04994592007810707,-0.5487430963428068,-0.2355212264372529,-0.4060876926631635,0.20387269732567817,-0.026233918014878357
TFF1,-1.8844906355849887e-15,3.733012792247675e-15,1.0,1.9037017294605677e-15,5.2330948816904405e-15,-2.324481615056977e-15,4.515486425432784e-15,-3.713908006163842e-15,5.5151915553772626e-15,-3.243265422152058e-15,9.300668732483626e-15,-2.9352309046715814e-15,7.839280122688493e-15,-8.57077707893715e-15,5.9107055457484414e-15,1.830347201325531e-15,-0.30798853043446506,0.10447186393885875,5.1257909455298e-18,-0.00152843984138096,0.1444827696163732,-0.016232464903637143,-0.08556742397181229,0.015141963224984326,0.2928151915357086,0.38358458076680635,-0.2505945484221317,-0.16220231966095275,-0.6476664876134189,0.11744349376524708,-0.33173902602290684,-0.01535610363738829,2.672058488970389e-15,1.0,-2.093855059175082e-15,-1.6666713133614374e-15,-4.924221749531031e-16,5.219472376498977e-16,-1.9139610630894813e-15,1.0613786697861873e-15,-7.533048580151101e-16,1.5650140301698374e-15,-2.4411313761939177e-15,-5.22380270124282e-15,1.0442795013912881e-15,2.0528413288149895e-15,-2.2031659836190467e-15,-5.540550358416615e-15,0.34388086599110057,1.7582979161948253e-16,-0.09964154296253738,0.13194119777894842,0.13635555594321977,0.03827195661004904,0.008745793869066784,-0.10201829742777514,-0.034828963700076744,0.36272935053266303,0.08908932180854724,0.15201621179404187,0.7031677033570377,-0.27758683243499155,-0.24498721098108728,0.16887200638744823
