hsa-miR-181c-5p,NOTCH4
hsa-miR-181c-5p,KRAS
hsa-miR-7-5p,ABCC1
hsa-miR-345-5p,ABCC1
hsa-miR-26b-5p,PTGS2
hsa-miR-222-3p,PPP2R2A
hsa-miR-449a,CDC25A
hsa-miR-210-3p,DDAH1
hsa-miR-324-5p,SMO
hsa-miR-326,SMO
hsa-miR-125b-5p,SMO
hsa-miR-145-5p,MUC1
hsa-miR-1-3p,PAX3
hsa-miR-206,PAX3
hsa-miR-210-3p,MNT
hsa-miR-199a-5p,DDR1
hsa-miR-26a-5p,GSK3B
hsa-miR-155-5p,SMAD1
hsa-miR-155-5p,MYO10
hsa-miR-153-3p,SNCA
hsa-miR-221-3p,DDIT4
hsa-miR-224-5p,CDC42
hsa-miR-224-5p,CXCR4
hsa-miR-103a-3p,CCNE1
hsa-miR-103a-3p,CDK2
hsa-miR-103a-3p,CREB1
hsa-miR-30a-3p,THBS1
hsa-miR-30a-3p,SLC7A6
hsa-miR-125b-5p,LIN28A
hsa-let-7a-5p,LIN28A
hsa-miR-125a-5p,LIN28A
hsa-miR-107,NFIA
hsa-miR-21-5p,NCAPG
hsa-miR-21-5p,RTN4
hsa-miR-1-3p,KCNE1
hsa-miR-569,SPI1
hsa-miR-24-3p,MYC
hsa-miR-24-3p,E2F2
hsa-miR-24-3p,AURKB
hsa-miR-24-3p,POLD1
hsa-miR-24-3p,CDK4
hsa-miR-24-3p,CCNA2
hsa-miR-24-3p,FEN1
hsa-miR-192-5p,TRAPPC2B
hsa-miR-27b-3p,TRAPPC2B
hsa-miR-603,TRAPPC2B
hsa-miR-532-5p,TRAPPC2B
hsa-miR-200a-3p,TRAPPC2B
hsa-miR-141-3p,TRAPPC2B
hsa-miR-769-5p,TRAPPC2B
hsa-miR-122-5p,ADAM10
hsa-miR-122-5p,SRF
hsa-miR-146b-5p,MMP16
hsa-miR-124-3p,IQGAP1
hsa-miR-296-5p,HGS
hsa-miR-92a-3p,BMPR2
hsa-miR-19b-3p,BMPR2
hsa-miR-19a-3p,BMPR2
hsa-miR-20a-5p,BMPR2
hsa-miR-17-5p,BMPR2
hsa-miR-18a-3p,KRAS
hsa-miR-133b,PITX3
hsa-miR-196a-5p,KRT5
hsa-miR-196a-5p,S100A9
hsa-miR-1-3p,CAND1
hsa-miR-223-3p,STMN1
hsa-miR-100-5p,PLK1
hsa-miR-223-3p,LMO2
hsa-miR-184,NFATC2
hsa-miR-106a-5p,IL10
hsa-miR-124-3p,NFKBIZ
hsa-miR-16-5p,CAPRIN1
hsa-miR-1-3p,SERP1
hsa-miR-30c-5p,UBE2I
